product_name,category,unit_price
Panasonic Plus Smart TV 4K,Electronics,811.91
HP Max Tablet,Electronics,846.7
Gap Classic Sweater,Apparel,112.14
Samsung Pro Wireless Earbuds,Electronics,1612.02
Wilson Indoor/Outdoor Yoga Mat,Sports,888.9
Callaway Lightweight Tennis Racket,Sports,480.13
Dell Advanced Smart TV 4K,Electronics,343.01
Kraft Premium Almond Milk,Grocery,19.11
Kelloggs Gluten-Free Cereal,Grocery,20.25
Under Armour Classic T-Shirt,Apparel,88.58
Zara Classic Running Shoes,Apparel,117.94
Nestle Organic Pasta,Grocery,13.84
Asus Lite Smartphone 5G,Electronics,1330.7
Nike Casual Socks,Apparel,13.56
Coca-Cola Organic Olive Oil,Grocery,4.58
Kelloggs Roasted Organic Coffee,Grocery,2.74
Dell Max Tablet,Electronics,1609.21
Samsung Portable Gaming Console,Electronics,820.17
Kelloggs Organic Pasta,Grocery,14.2
Titleist Performance Basketball,Sports,908.95
IKEA Pro-Series Lawn Mower,Home & Garden,221.96
Ashley Stainless Steel Bed Frame,Home & Garden,345.99
Great Value Fresh Protein Bar,Grocery,20.12
Kelloggs Roasted Pasta,Grocery,7.48
Nestle Premium Pasta,Grocery,3.84
DeWalt Ergonomic Tool Set,Home & Garden,253.11
Wilson Performance Camping Tent,Sports,173.8
H&M Vintage Dress,Apparel,140.16
Weber Pro-Series Grill,Home & Garden,652.25
DeWalt Modern Coffee Maker,Home & Garden,517.72
Coleman ProGrade Baseball Glove,Sports,873.39
Kraft Premium Whole Wheat Bread,Grocery,21.28
Sony Lite Digital Camera,Electronics,507.1
Spalding Lightweight Dumbbells,Sports,894.17
Titleist Advanced Dumbbells,Sports,546.25
Yeti Pro-Series Vacuum Cleaner,Home & Garden,651.73
Samsung Portable Smartphone 5G,Electronics,2245.42
Ralph Lauren Performance T-Shirt,Apparel,54.52
Titleist Indoor/Outdoor Golf Clubs,Sports,123.4
DeWalt Electric Grill,Home & Garden,205.51
Coleman Indoor/Outdoor Treadmill,Sports,435.7
Gatorade Indoor/Outdoor Water Bottle,Sports,820.74
DeWalt Electric Cooler,Home & Garden,692.76
Kraft Fresh Protein Bar,Grocery,2.16
Black+Decker Ergonomic Cooler,Home & Garden,423.28
Dell Lite Tablet,Electronics,1072.66
Pepsi Organic Whole Wheat Bread,Grocery,7.32
Puma Classic Sneakers,Apparel,26.78
Adidas Classic Socks,Apparel,57.27
General Mills Natural Organic Coffee,Grocery,24.62
H&M Classic Shorts,Apparel,55.25
Panasonic Bluetooth Smart TV 4K,Electronics,1321.04
Coca-Cola Natural Pasta,Grocery,18.86
Titleist Lightweight Baseball Glove,Sports,373.18
Kelloggs Sugar-Free Organic Coffee,Grocery,25.31
KitchenAid Smart Vacuum Cleaner,Home & Garden,771.08
DeWalt Heavy Duty Tool Set,Home & Garden,223.87
Wilson ProGrade Dumbbells,Sports,504.79
Gap Athletic T-Shirt,Apparel,52.12
Kelloggs Roasted Cereal,Grocery,8.83
KitchenAid Stainless Steel Tool Set,Home & Garden,58.4
Kelloggs Fresh Almond Milk,Grocery,16.62
IKEA Heavy Duty Lawn Mower,Home & Garden,417.06
Adidas Cotton T-Shirt,Apparel,17.21
Puma Cotton Shorts,Apparel,49.01
Puma Athletic Dress,Apparel,137.16
LG Bluetooth Tablet,Electronics,636.93
Nestle Organic Whole Wheat Bread,Grocery,5.47
Great Value Family Size Olive Oil,Grocery,13.74
Gatorade Lightweight Baseball Glove,Sports,985.87
LG Pro Tablet,Electronics,643.04
Spalding Indoor/Outdoor Basketball,Sports,677.05
Kelloggs Roasted Almond Milk,Grocery,20.27
Coleman ProGrade Dumbbells,Sports,249.07
Ashley Smart Lawn Mower,Home & Garden,590.73
DeWalt Smart Vacuum Cleaner,Home & Garden,313.19
Rawlings Durable Water Bottle,Sports,637.82
Weber Smart Bed Frame,Home & Garden,517.82
Pepsi Premium Almond Milk,Grocery,14.85
General Mills Premium Mixed Nuts,Grocery,4.16
Gatorade Performance Basketball,Sports,837.77
KitchenAid Compact Cooler,Home & Garden,277.0
Zara Premium Hoodie,Apparel,36.11
Coca-Cola Family Size Protein Bar,Grocery,2.97
Adidas Casual Socks,Apparel,92.73
Black+Decker Electric Cooler,Home & Garden,551.72
IKEA Modern Coffee Maker,Home & Garden,42.77
H&M Casual Jacket,Apparel,81.69
Coleman Lightweight Water Bottle,Sports,238.1
Pepsi Sugar-Free Olive Oil,Grocery,6.17
Coca-Cola Premium Almond Milk,Grocery,18.57
Zara Slim-Fit Sweater,Apparel,64.14
Puma Casual Dress,Apparel,141.14
Coca-Cola Organic Cereal,Grocery,5.29
Kraft Roasted Whole Wheat Bread,Grocery,10.18
Kirkland Gluten-Free Olive Oil,Grocery,4.71
Sony Plus Wireless Earbuds,Electronics,2315.5
Ashley Heavy Duty Bed Frame,Home & Garden,705.55
General Mills Sugar-Free Mixed Nuts,Grocery,8.18
Nestle Family Size Olive Oil,Grocery,17.83
Ashley Modern Tool Set,Home & Garden,659.26
Ashley Heavy Duty Vacuum Cleaner,Home & Garden,457.5
Levis Slim-Fit Running Shoes,Apparel,84.15
Bose Portable Smartphone 5G,Electronics,642.54
Gatorade Lightweight Treadmill,Sports,106.71
Kelloggs Fresh Organic Coffee,Grocery,23.52
Spalding Indoor/Outdoor Baseball Glove,Sports,901.91
Levis Slim-Fit Sneakers,Apparel,98.63
Under Armour Slim-Fit Sneakers,Apparel,57.46
Panasonic Bluetooth Digital Camera,Electronics,905.56
Kirkland Premium Olive Oil,Grocery,19.41
General Mills Organic Cereal,Grocery,23.52
Kraft Natural Almond Milk,Grocery,23.28
Titleist Advanced Tennis Racket,Sports,783.18
Nestle Organic Organic Coffee,Grocery,17.4
Levis Premium Dress,Apparel,21.78
Asus Plus Monitor,Electronics,445.99
General Mills Sugar-Free Almond Milk,Grocery,23.56
Wilson Lightweight Yoga Mat,Sports,612.33
Rawlings ProGrade Golf Clubs,Sports,24.06
Nike Premium Shorts,Apparel,24.21
Apple Bluetooth Smartwatch,Electronics,1675.58
Dyson Compact Bed Frame,Home & Garden,33.9
Weber Modern Cooler,Home & Garden,153.82
Kelloggs Roasted Sparkling Water,Grocery,15.16
Apple Advanced Monitor,Electronics,1745.14
Dyson Smart Grill,Home & Garden,532.01
Asus Pro Gaming Console,Electronics,599.46
Pepsi Organic Pasta,Grocery,19.08
Wilson Advanced Water Bottle,Sports,248.69
Yeti Heavy Duty Blender,Home & Garden,280.56
Coleman Durable Treadmill,Sports,750.29
IKEA Pro-Series Coffee Maker,Home & Garden,530.22
Callaway Performance Treadmill,Sports,851.49
Under Armour Premium Sweater,Apparel,89.56
Bose Portable Laptop Pro,Electronics,279.5
Adidas Performance Jeans,Apparel,61.48
Gap Premium Sweater,Apparel,47.13
Kelloggs Sugar-Free Mixed Nuts,Grocery,7.85
Gap Athletic Socks,Apparel,146.22
Ralph Lauren Athletic Jeans,Apparel,65.03
Kelloggs Roasted Protein Bar,Grocery,23.4
Kirkland Fresh Olive Oil,Grocery,17.14
Bowflex Indoor/Outdoor Tennis Racket,Sports,797.89
Weber Stainless Steel Lawn Mower,Home & Garden,417.03
Gatorade Lightweight Yoga Mat,Sports,583.25
Puma Classic Running Shoes,Apparel,78.95
IKEA Stainless Steel Cooler,Home & Garden,180.34
Yeti Compact Cooler,Home & Garden,586.29
Apple Advanced Laptop Pro,Electronics,737.89
Ashley Electric Sofa,Home & Garden,48.72
H&M Athletic Jeans,Apparel,100.37
Dyson Stainless Steel Bed Frame,Home & Garden,166.38
Ashley Stainless Steel Grill,Home & Garden,754.15
KitchenAid Electric Grill,Home & Garden,764.53
Samsung Lite Tablet,Electronics,2291.42
Adidas Classic Jeans,Apparel,61.82
Asus Max Tablet,Electronics,87.87
Sony Advanced Smart TV 4K,Electronics,2324.38
Pepsi Roasted Pasta,Grocery,12.27
Puma Classic Shorts,Apparel,145.33
Under Armour Athletic Jeans,Apparel,144.91
Gatorade Durable Baseball Glove,Sports,855.21
DeWalt Pro-Series Cooler,Home & Garden,256.73
Dyson Compact Power Drill,Home & Garden,685.38
KitchenAid Ergonomic Tool Set,Home & Garden,274.03
General Mills Fresh Cereal,Grocery,6.06
KitchenAid Ergonomic Coffee Maker,Home & Garden,750.84
Wilson Durable Treadmill,Sports,576.51
Levis Athletic Jeans,Apparel,96.1
Dell Bluetooth Smart TV 4K,Electronics,2475.63
Coleman Advanced Tennis Racket,Sports,152.98
Dell Advanced Monitor,Electronics,1319.91
Puma Athletic Sweater,Apparel,132.83
Coca-Cola Gluten-Free Olive Oil,Grocery,19.77
Dyson Stainless Steel Power Drill,Home & Garden,566.7
Ashley Compact Blender,Home & Garden,570.91
KitchenAid Modern Tool Set,Home & Garden,306.81
Dell Pro Digital Camera,Electronics,769.3
Coca-Cola Natural Sparkling Water,Grocery,21.41
LG Bluetooth Smart TV 4K,Electronics,2034.78
Coleman Durable Baseball Glove,Sports,869.07
Apple Ultra-Slim Smart TV 4K,Electronics,1302.79
General Mills Organic Almond Milk,Grocery,14.03
Ralph Lauren Athletic Socks,Apparel,121.76
KitchenAid Smart Bed Frame,Home & Garden,530.47
H&M Slim-Fit Dress,Apparel,108.28
Kraft Sugar-Free Mixed Nuts,Grocery,23.35
Zara Slim-Fit Hoodie,Apparel,57.32
Kraft Organic Mixed Nuts,Grocery,4.25
LG Ultra-Slim Smart TV 4K,Electronics,1466.79
Kraft Gluten-Free Cereal,Grocery,2.85
Bose Lite Smartphone 5G,Electronics,1190.72
Zara Athletic Shorts,Apparel,85.97
Dell Max Wireless Earbuds,Electronics,752.03
Rawlings Indoor/Outdoor Tennis Racket,Sports,596.97
Sony Max Smart TV 4K,Electronics,124.73
Kraft Roasted Organic Coffee,Grocery,2.89
Levis Cotton Sneakers,Apparel,125.16
Ashley Modern Cooler,Home & Garden,307.35
KitchenAid Modern Cooler,Home & Garden,127.84
Titleist Durable Basketball,Sports,529.41
Rawlings Lightweight Basketball,Sports,773.44
Asus Portable Monitor,Electronics,578.76
Asus Bluetooth Laptop Pro,Electronics,1576.08
HP Max Laptop Pro,Electronics,259.1
Levis Vintage Socks,Apparel,17.24
Rawlings Lightweight Water Bottle,Sports,538.38
Gatorade ProGrade Golf Clubs,Sports,547.53
Titleist Lightweight Treadmill,Sports,642.87
Yeti Modern Lawn Mower,Home & Garden,781.41
KitchenAid Ergonomic Lawn Mower,Home & Garden,427.55
Gap Slim-Fit Jeans,Apparel,55.21
Samsung Portable Laptop Pro,Electronics,1998.21
Nestle Family Size Protein Bar,Grocery,8.49
Coleman Advanced Golf Clubs,Sports,447.39
KitchenAid Smart Sofa,Home & Garden,90.41
Coca-Cola Roasted Almond Milk,Grocery,2.6
Titleist Official Size Treadmill,Sports,963.21
Adidas Vintage Sweater,Apparel,127.04
Great Value Fresh Cereal,Grocery,18.69
IKEA Ergonomic Sofa,Home & Garden,344.89
Levis Premium Hoodie,Apparel,34.26
Kirkland Gluten-Free Whole Wheat Bread,Grocery,5.74
Gatorade ProGrade Tennis Racket,Sports,261.49
Weber Stainless Steel Vacuum Cleaner,Home & Garden,580.24
Apple Max Smart TV 4K,Electronics,735.84
Dell Bluetooth Monitor,Electronics,2389.42
Weber Smart Coffee Maker,Home & Garden,598.18
Ralph Lauren Slim-Fit Hoodie,Apparel,87.61
Ashley Ergonomic Bed Frame,Home & Garden,501.02
Dyson Heavy Duty Blender,Home & Garden,353.09
IKEA Heavy Duty Blender,Home & Garden,220.75
Kraft Gluten-Free Olive Oil,Grocery,10.53
Pepsi Organic Organic Coffee,Grocery,20.18
Yeti Compact Vacuum Cleaner,Home & Garden,41.08
Black+Decker Stainless Steel Power Drill,Home & Garden,119.38
IKEA Smart Sofa,Home & Garden,65.42
Yeti Smart Coffee Maker,Home & Garden,688.7
Panasonic Ultra-Slim Gaming Console,Electronics,1773.96
Gap Vintage Jeans,Apparel,76.38
Ashley Pro-Series Tool Set,Home & Garden,105.33
Gatorade Durable Golf Clubs,Sports,499.24
Dyson Stainless Steel Blender,Home & Garden,394.57
Nestle Organic Protein Bar,Grocery,6.15
Bose Lite Gaming Console,Electronics,1112.94
Nestle Premium Almond Milk,Grocery,11.55
Levis Casual Sneakers,Apparel,96.22
Callaway Indoor/Outdoor Golf Clubs,Sports,640.57
Gap Performance Shorts,Apparel,16.34
Bowflex Advanced Yoga Mat,Sports,383.99
Nestle Sugar-Free Almond Milk,Grocery,17.01
Weber Ergonomic Coffee Maker,Home & Garden,417.41
Wilson Performance Water Bottle,Sports,858.64
Dell Bluetooth Digital Camera,Electronics,1663.8
Sony Advanced Tablet,Electronics,449.19
Samsung Portable Digital Camera,Electronics,222.89
Wilson Lightweight Baseball Glove,Sports,647.78
General Mills Gluten-Free Organic Coffee,Grocery,2.63
Ashley Stainless Steel Power Drill,Home & Garden,481.05
Callaway ProGrade Baseball Glove,Sports,941.13
Weber Compact Lawn Mower,Home & Garden,473.12
Kirkland Roasted Almond Milk,Grocery,17.43
Great Value Natural Olive Oil,Grocery,12.99
Callaway Performance Camping Tent,Sports,942.34
Gatorade Advanced Yoga Mat,Sports,961.77
Ralph Lauren Slim-Fit Socks,Apparel,136.75
Coleman ProGrade Yoga Mat,Sports,207.85
Nestle Premium Sparkling Water,Grocery,3.65
Black+Decker Pro-Series Vacuum Cleaner,Home & Garden,107.6
Adidas Premium Jeans,Apparel,12.55
Wilson Advanced Yoga Mat,Sports,108.03
Callaway Durable Dumbbells,Sports,687.76
Under Armour Athletic Shorts,Apparel,19.97
Gap Cotton Socks,Apparel,54.66
Kraft Sugar-Free Olive Oil,Grocery,22.27
Black+Decker Pro-Series Coffee Maker,Home & Garden,47.92
Black+Decker Stainless Steel Bed Frame,Home & Garden,657.14
Weber Ergonomic Tool Set,Home & Garden,247.03
Gatorade Official Size Baseball Glove,Sports,131.39
Callaway Indoor/Outdoor Camping Tent,Sports,701.29
Asus Advanced Smartwatch,Electronics,1590.91
Bose Pro Tablet,Electronics,2199.81
Apple Plus Digital Camera,Electronics,1850.92
Callaway Indoor/Outdoor Dumbbells,Sports,806.43
LG Bluetooth Gaming Console,Electronics,740.98
Panasonic Ultra-Slim Monitor,Electronics,484.73
Coleman Official Size Dumbbells,Sports,754.36
HP Lite Smart TV 4K,Electronics,2026.75
Great Value Roasted Whole Wheat Bread,Grocery,25.76
Nike Premium Dress,Apparel,67.77
Samsung Ultra-Slim Tablet,Electronics,1952.21
Under Armour Classic Jeans,Apparel,57.71
LG Portable Digital Camera,Electronics,2153.11
Samsung Bluetooth Smartwatch,Electronics,1101.04
Bose Lite Wireless Earbuds,Electronics,1889.63
Kelloggs Family Size Sparkling Water,Grocery,20.1
Coleman ProGrade Water Bottle,Sports,904.01
Wilson Lightweight Treadmill,Sports,512.67
Panasonic Advanced Tablet,Electronics,2074.82
HP Pro Gaming Console,Electronics,834.12
Adidas Vintage Sneakers,Apparel,135.37
HP Advanced Wireless Earbuds,Electronics,1003.54
Weber Compact Vacuum Cleaner,Home & Garden,38.34
Asus Ultra-Slim Tablet,Electronics,2268.19
Nike Casual T-Shirt,Apparel,22.78
Coca-Cola Natural Protein Bar,Grocery,9.65
Pepsi Family Size Sparkling Water,Grocery,24.8
Great Value Roasted Pasta,Grocery,15.75
Weber Smart Lawn Mower,Home & Garden,516.51
Gap Performance Hoodie,Apparel,72.78
Rawlings Indoor/Outdoor Golf Clubs,Sports,303.81
Ashley Smart Bed Frame,Home & Garden,283.07
Ralph Lauren Premium Hoodie,Apparel,104.15
Samsung Advanced Tablet,Electronics,1893.32
General Mills Natural Whole Wheat Bread,Grocery,20.99
KitchenAid Electric Sofa,Home & Garden,638.01
Panasonic Advanced Smartwatch,Electronics,1261.33
Nike Athletic Shorts,Apparel,18.06
IKEA Compact Power Drill,Home & Garden,453.14
Zara Vintage Socks,Apparel,71.81
Wilson Durable Tennis Racket,Sports,889.39
KitchenAid Stainless Steel Cooler,Home & Garden,300.2
Ashley Ergonomic Coffee Maker,Home & Garden,506.03
Adidas Athletic Jeans,Apparel,21.77
DeWalt Electric Power Drill,Home & Garden,569.75
Pepsi Organic Protein Bar,Grocery,3.74
Rawlings Performance Tennis Racket,Sports,824.53
Zara Casual Jeans,Apparel,108.87
Under Armour Casual Dress,Apparel,21.39
HP Advanced Digital Camera,Electronics,257.85
Callaway Durable Golf Clubs,Sports,986.84
Dell Portable Digital Camera,Electronics,966.96
Gatorade Indoor/Outdoor Dumbbells,Sports,380.08
Spalding Official Size Yoga Mat,Sports,815.61
Asus Bluetooth Smartwatch,Electronics,2370.76
Nestle Gluten-Free Whole Wheat Bread,Grocery,25.65
IKEA Modern Grill,Home & Garden,610.1
Levis Athletic Sneakers,Apparel,62.68
Kraft Roasted Protein Bar,Grocery,3.99
Rawlings Official Size Camping Tent,Sports,565.03
Spalding Durable Tennis Racket,Sports,432.86
Callaway Official Size Yoga Mat,Sports,907.76
Wilson Indoor/Outdoor Basketball,Sports,124.53
Gatorade Durable Basketball,Sports,26.18
Dyson Ergonomic Cooler,Home & Garden,390.87
H&M Premium Dress,Apparel,17.88
Sony Max Digital Camera,Electronics,341.1
Weber Electric Blender,Home & Garden,120.5
Nestle Roasted Sparkling Water,Grocery,17.57
Kelloggs Gluten-Free Sparkling Water,Grocery,19.9
Spalding Performance Baseball Glove,Sports,589.62
Ashley Ergonomic Cooler,Home & Garden,770.87
Under Armour Slim-Fit T-Shirt,Apparel,62.48
Kelloggs Natural Cereal,Grocery,8.85
Zara Vintage Running Shoes,Apparel,131.6
Gap Performance Dress,Apparel,41.3
Weber Pro-Series Blender,Home & Garden,39.36
Coleman ProGrade Basketball,Sports,970.33
General Mills Sugar-Free Olive Oil,Grocery,3.03
Wilson Indoor/Outdoor Golf Clubs,Sports,892.78
DeWalt Ergonomic Lawn Mower,Home & Garden,436.33
KitchenAid Heavy Duty Tool Set,Home & Garden,794.58
Rawlings ProGrade Dumbbells,Sports,560.55
Bowflex Indoor/Outdoor Water Bottle,Sports,969.76
Great Value Gluten-Free Almond Milk,Grocery,14.54
KitchenAid Stainless Steel Grill,Home & Garden,514.64
Nestle Premium Protein Bar,Grocery,18.69
IKEA Heavy Duty Sofa,Home & Garden,380.0
Zara Performance Sweater,Apparel,97.86
DeWalt Compact Lawn Mower,Home & Garden,479.92
Rawlings Durable Yoga Mat,Sports,59.76
Bowflex Advanced Camping Tent,Sports,291.75
IKEA Stainless Steel Lawn Mower,Home & Garden,761.82
Bowflex Performance Baseball Glove,Sports,463.82
Asus Max Smartwatch,Electronics,1569.32
Samsung Lite Smart TV 4K,Electronics,510.9
Black+Decker Smart Grill,Home & Garden,302.08
Bowflex Indoor/Outdoor Basketball,Sports,589.9
Ralph Lauren Casual Sweater,Apparel,20.88
General Mills Natural Sparkling Water,Grocery,25.38
Gap Vintage Sweater,Apparel,148.07
Coca-Cola Sugar-Free Cereal,Grocery,18.75
Levis Premium Running Shoes,Apparel,85.05
Coca-Cola Premium Mixed Nuts,Grocery,9.42
General Mills Roasted Protein Bar,Grocery,21.52
Coca-Cola Organic Protein Bar,Grocery,18.42
Yeti Stainless Steel Vacuum Cleaner,Home & Garden,155.22
Kirkland Fresh Almond Milk,Grocery,23.85
General Mills Fresh Mixed Nuts,Grocery,21.73
Puma Premium Sweater,Apparel,142.97
Nestle Organic Cereal,Grocery,19.41
Nike Casual Running Shoes,Apparel,95.88
Ashley Compact Sofa,Home & Garden,748.2
Callaway Lightweight Treadmill,Sports,868.07
Black+Decker Ergonomic Lawn Mower,Home & Garden,64.82
Kirkland Organic Cereal,Grocery,2.62
Wilson Official Size Dumbbells,Sports,385.82
Nike Classic Dress,Apparel,123.48
Levis Cotton T-Shirt,Apparel,148.22
Great Value Roasted Olive Oil,Grocery,5.6
Weber Compact Grill,Home & Garden,487.48
Dyson Pro-Series Power Drill,Home & Garden,323.29
Nestle Sugar-Free Olive Oil,Grocery,25.27
Nike Vintage Jacket,Apparel,127.9
Titleist Official Size Dumbbells,Sports,840.75
Apple Max Digital Camera,Electronics,1066.31
Kraft Family Size Olive Oil,Grocery,8.55
Black+Decker Electric Coffee Maker,Home & Garden,73.41
Coca-Cola Family Size Olive Oil,Grocery,22.74
Kraft Family Size Almond Milk,Grocery,21.5
Dyson Compact Tool Set,Home & Garden,799.78
Rawlings Advanced Golf Clubs,Sports,996.69
Pepsi Premium Cereal,Grocery,15.32
Gap Athletic Dress,Apparel,117.66
Black+Decker Pro-Series Bed Frame,Home & Garden,684.23
Bose Bluetooth Smartwatch,Electronics,656.0
Great Value Organic Organic Coffee,Grocery,12.8
Titleist Durable Water Bottle,Sports,142.22
Under Armour Vintage Sweater,Apparel,143.57
Ashley Pro-Series Bed Frame,Home & Garden,496.75
DeWalt Smart Cooler,Home & Garden,547.21
Kirkland Natural Olive Oil,Grocery,10.59
LG Pro Smart TV 4K,Electronics,328.22
KitchenAid Modern Grill,Home & Garden,547.11
Samsung Bluetooth Smart TV 4K,Electronics,1324.75
Kelloggs Gluten-Free Whole Wheat Bread,Grocery,20.53
KitchenAid Smart Cooler,Home & Garden,430.53
Yeti Modern Grill,Home & Garden,686.18
Zara Slim-Fit Sneakers,Apparel,87.27
Gatorade Durable Tennis Racket,Sports,567.52
Nike Cotton Jacket,Apparel,132.73
Yeti Smart Blender,Home & Garden,340.68
Gap Vintage Sneakers,Apparel,28.76
Kraft Organic Organic Coffee,Grocery,2.68
IKEA Pro-Series Blender,Home & Garden,611.46
Samsung Ultra-Slim Digital Camera,Electronics,1569.76
Wilson Official Size Basketball,Sports,708.52
Nike Athletic Sweater,Apparel,29.09
Kraft Roasted Sparkling Water,Grocery,2.34
Levis Athletic Sweater,Apparel,59.08
H&M Premium Jacket,Apparel,92.59
Bose Max Monitor,Electronics,1011.0
Bowflex ProGrade Yoga Mat,Sports,445.91
Levis Classic Sneakers,Apparel,58.76
Nestle Sugar-Free Organic Coffee,Grocery,20.8
Gatorade Lightweight Water Bottle,Sports,405.59
Callaway Lightweight Baseball Glove,Sports,627.76
Kraft Roasted Almond Milk,Grocery,22.69
Nike Premium Socks,Apparel,30.59
Ralph Lauren Casual Dress,Apparel,78.9
Zara Premium T-Shirt,Apparel,46.15
Puma Slim-Fit Dress,Apparel,74.28
Coleman Indoor/Outdoor Camping Tent,Sports,500.23
Weber Stainless Steel Coffee Maker,Home & Garden,283.14
Pepsi Sugar-Free Mixed Nuts,Grocery,17.19
Asus Advanced Smartphone 5G,Electronics,638.36
Pepsi Natural Organic Coffee,Grocery,3.81
Dell Portable Tablet,Electronics,363.71
Puma Vintage Running Shoes,Apparel,31.27
Black+Decker Electric Grill,Home & Garden,136.9
Coca-Cola Sugar-Free Mixed Nuts,Grocery,17.37
DeWalt Stainless Steel Vacuum Cleaner,Home & Garden,170.05
Ralph Lauren Performance Sneakers,Apparel,58.39
Wilson Durable Basketball,Sports,898.34
Sony Ultra-Slim Monitor,Electronics,1211.21
Puma Slim-Fit Sneakers,Apparel,103.46
Asus Bluetooth Smart TV 4K,Electronics,521.11
Bose Portable Smart TV 4K,Electronics,150.13
Bose Plus Smartwatch,Electronics,463.89
Kirkland Natural Whole Wheat Bread,Grocery,8.68
Samsung Max Smartphone 5G,Electronics,483.68
Kelloggs Organic Sparkling Water,Grocery,4.89
Great Value Family Size Almond Milk,Grocery,6.94
Yeti Smart Grill,Home & Garden,310.49
IKEA Heavy Duty Vacuum Cleaner,Home & Garden,417.63
Asus Portable Gaming Console,Electronics,1741.47
Spalding Durable Basketball,Sports,53.72
Puma Performance Jacket,Apparel,121.92
Samsung Plus Smartwatch,Electronics,1588.36
Wilson Official Size Yoga Mat,Sports,95.53
LG Max Monitor,Electronics,2190.27
Dell Max Smartphone 5G,Electronics,2306.14
Gatorade Advanced Water Bottle,Sports,75.16
